date,VIX,SP500_Return,unemployment_rate
2018-01-31,17.5,5.6,4.0
2018-02-28,16.8,-3.7,4.1
2018-03-31,20.6,-2.5,4.0
2018-04-30,16.5,0.3,4.0
2018-05-31,14.4,2.4,3.8
2018-06-30,16.1,0.5,4.0
2018-07-31,12.5,3.7,3.8
2018-08-31,13.5,3.3,3.8
2018-09-30,14.2,0.6,3.7
2018-10-31,16.7,-6.8,3.8
2018-11-30,18.4,2.0,3.8
2018-12-31,21.6,-9.0,3.9
2019-01-31,17.6,8.0,4.0
2019-02-28,15.8,3.2,3.8
2019-03-31,16.4,1.9,3.8
2019-04-30,13.2,4.0,3.7
2019-05-31,14.5,-6.4,3.6
2019-06-30,15.7,7.0,3.6
2019-07-31,13.4,1.4,3.7
2019-08-31,16.2,-1.6,3.6
2019-09-30,15.9,1.9,3.5
2019-10-31,14.2,2.2,3.6
2019-11-30,13.1,3.6,3.6
2019-12-31,13.8,3.0,3.6
2020-01-31,14.5,-0.2,3.6
2020-02-29,23.4,-8.2,3.5
2020-03-31,53.5,-12.4,4.4
2020-04-30,46.8,12.8,14.8
2020-05-31,33.2,4.8,13.2
2020-06-30,30.4,2.0,11.0
2020-07-31,26.3,5.6,10.2
2020-08-31,24.1,7.2,8.4
2020-09-30,26.4,-3.8,7.8
2020-10-31,28.6,-2.7,6.9
2020-11-30,25.7,11.0,6.7
2020-12-31,22.8,3.8,6.7
2021-01-31,24.3,-1.0,6.4
2021-02-28,22.6,2.8,6.2
2021-03-31,19.8,4.4,6.1
2021-04-30,18.6,5.3,6.1
2021-05-31,19.2,0.7,5.8
2021-06-30,18.9,2.3,5.9
2021-07-31,16.2,2.4,5.4
2021-08-31,17.8,3.0,5.1
2021-09-30,19.6,-4.7,4.7
2021-10-31,17.2,7.0,4.5
2021-11-30,18.4,-0.7,4.1
2021-12-31,17.9,4.5,3.9
