Date,SP500_Return
2018-01-31,5.6
2018-02-28,-3.7
2018-03-31,-2.5
2018-04-30,0.3
2018-05-31,2.4
2018-06-30,0.5
2018-07-31,3.7
2018-08-31,3.3
2018-09-30,0.6
2018-10-31,-6.8
2018-11-30,2.0
2018-12-31,-9.0
2019-01-31,8.0
2019-02-28,3.2
2019-03-31,1.9
2019-04-30,4.0
2019-05-31,-6.4
2019-06-30,7.0
2019-07-31,1.4
2019-08-31,-1.6
2019-09-30,1.9
2019-10-31,2.2
2019-11-30,3.6
2019-12-31,3.0
2020-01-31,-0.2
2020-02-29,-8.2
2020-03-31,-12.4
2020-04-30,12.8
2020-05-31,4.8
2020-06-30,2.0
2020-07-31,5.6
2020-08-31,7.2
2020-09-30,-3.8
2020-10-31,-2.7
2020-11-30,11.0
2020-12-31,3.8
2021-01-31,-1.0
2021-02-28,2.8
2021-03-31,4.4
2021-04-30,5.3
2021-05-31,0.7
2021-06-30,2.3
2021-07-31,2.4
2021-08-31,3.0
2021-09-30,-4.7
2021-10-31,7.0
2021-11-30,-0.7
2021-12-31,4.5
