Date,VIX
2018-01-31,17.5
2018-02-28,16.8
2018-03-31,20.6
2018-04-30,16.5
2018-05-31,14.4
2018-06-30,16.1
2018-07-31,12.5
2018-08-31,13.5
2018-09-30,14.2
2018-10-31,16.7
2018-11-30,18.4
2018-12-31,21.6
2019-01-31,17.6
2019-02-28,15.8
2019-03-31,16.4
2019-04-30,13.2
2019-05-31,14.5
2019-06-30,15.7
2019-07-31,13.4
2019-08-31,16.2
2019-09-30,15.9
2019-10-31,14.2
2019-11-30,13.1
2019-12-31,13.8
2020-01-31,14.5
2020-02-29,23.4
2020-03-31,53.5
2020-04-30,46.8
2020-05-31,33.2
2020-06-30,30.4
2020-07-31,26.3
2020-08-31,24.1
2020-09-30,26.4
2020-10-31,28.6
2020-11-30,25.7
2020-12-31,22.8
2021-01-31,24.3
2021-02-28,22.6
2021-03-31,19.8
2021-04-30,18.6
2021-05-31,19.2
2021-06-30,18.9
2021-07-31,16.2
2021-08-31,17.8
2021-09-30,19.6
2021-10-31,17.2
2021-11-30,18.4
2021-12-31,17.9
